項次,建案名稱,樓地板面積,每坪月租金,管理機關,房舍數量,建物用途,戶數
1,永春站（交19）,26.44 ~ 65.30,"2,070~3,665",捷運局,3,店鋪,3
2,永春站交21,161.08,"4,850",捷運局,1,店鋪,1
3,後山埤站交24,137.44 ~ 180.24,"3,035",捷運局,1,辦公室,1
,,,,,1,店鋪,1
4,後山埤站交25,18.33 ~ 103.56,"1,589 ~ 2,754",捷運局,3,店鋪,3
5,江子翠站捷1,108.24 ~ 114.48,970,捷運局,2,辦公室,2
6,台北車站交1,80.28 ~ 206.06,"1,384 ~ 5,345",捷運局,9,辦公室、一般零售業,9
7,大安站交6,82.29 ~ 805.67,"1,744~1,858",捷運局,5,辦公室,5
8,科技大樓站交7,200.85 ~ 368.96,"1,054 ~ 3,220",捷運局,1,辦公室,1
,,,,,4,店鋪,3
9,古亭站交14,31.04 ~ 94.82,"1,072 ~ 1,363",捷運局,4,辦公室,4
10,古亭站交15,117.75 ~ 17.9,"1,091 ~ 2,341",捷運局,5,辦公室,5
,,,,,2,店鋪,2
11,新店區公所站捷22,19.73 ~ 81.95,"752 ~ 1,166",捷運局,25,辦公室,24
12,七張站捷10、11,837.06 ~ 932.37,"795~1,371",捷運局,4,商場,4
13,景美交3,220.6,983,捷運局,1,辦公室,1
14,景美交4,148.78,"916 ~ 1,189",捷運局,3,辦公室,3
15,萬隆站交6、7,190.96 ~ 49.79,"1,382 ~ 2,507",捷運局,1,辦公室,1
,,,,,1,店鋪,1
16,公館站交11,27.66 ~ 458.56,"1,151 ~ 2,009",捷運局,27,辦公室,26
,,,,,4,商場,4
17,台電大樓站交13,36.26 ~ 77.65,"1,149 ~ 1,273",捷運局,4,辦公室,4
18,行天宮站捷5,71.18 ~ 306.83,"1,238 ~ 2,884",捷運局,12,辦公室,11
,,,,,1,店鋪,1
19,行天宮站捷7,121.74 ~ 129.96,"1,197 ~ 1,298",捷運局,4,辦公室,4
20,忠孝新生捷14,64.2 ~ 111.66,"1,462 ~ 1,973",捷運局,13,辦公室,13
21,東門站捷1,97.52,"1,706",捷運局,5,辦公室,5
22,頂溪站捷2,39.73 ~ 79.16,"754 ~ 1,054",捷運局,11,辦公室,11
23,頂溪站捷3,382.09 ~ 383.15,1236,捷運局,2,商場,2
24,港墘站交9,215.08 ~ 835.37,"1,437 ~ 1,603",捷運局,3,商場,3
,,13.67 ~ 40.7,"916 ~1,741",,18,聯開住宅,17
25,大安站捷3,101.13 ~ 140.91,"1,940 ~ 1,978",捷運局,5,辦公室,5
26,景安站捷5,50.36 ~ 702.75,526~ 762,捷運局,4,辦公室,4
27,南京復興站捷4,88.29 ~ 309.33,"2,229",捷運局,6,辦公室,6
28,淡水站,374.02 ~ 592.96,"690 ~ 1,339",捷運局,5,商場,5
29,行天宮站捷8,561.52,"2,004-2,063",捷運局,2,辦公室,2
30,蘆洲站,20.41 ~ 66.46,"972 ~ 1,728",捷運局,18,店鋪,17
,,21.14 ~ 68.63,"489 ~ 1,489",,521,聯開住宅,515
31,南勢角站捷6,40.76 ~ 63.34,"1,380 ~ 781",捷運局,8,店鋪、辦公室,7
,,47.73 ~ 53.05,610 ~ 804,,12,聯開住宅,12
32,辛亥站交10,27.59~ 379.81,610-840,捷運局,6,商場、辦公室,5
,,19.33 ~ 38.15,742 ~ 954,,37,聯開住宅,37
33,關渡站交40,29.11 ~ 30.37,"703 ~ 1,025",捷運局,24,辦公室,24
,,30.67~35.34,828 ~ 962,,6,聯開住宅,6
34,新店機廠-美河市,9.5 ~ 35.2,"558 ~ 1,254",捷運局,399,辦公室,399
,,689.8 ~ 7712.65,702,,9,商場,9
,,9.5 ~ 47.13,"621 ~ 1,217",,256,聯開住宅,255
35,忠孝復興站BR4,2036.38,"3,869",捷運局,1,商場,1
36,徐匯中學站,814.24,871,捷運局,2,商場,2
37,內湖站,1442.58,"2,264",捷運局,2,店鋪,2
,,,,,1,商場,1
,,16.83~39.72,"1,086~1,718",,77,辦公室,70
38,龍山寺站交1,19~32,"946~1,139",捷運局,11,聯開住宅,10
39,"臺北橋站
捷2",13.98~34.15,"805~1,280",捷運局,217,聯開住宅,217
40,新店站捷24、25、26、27,67.17~43.9,666~803,捷運局,11,聯開住宅,11
41,大坪林站捷8,10.59 ~ 30.83,773 ~ 984,捷運局,11,聯開住宅,11
42,大橋頭站,69.75~78.8,"791~1,076",捷運局,23,聯開住宅,23
43,中山站(捷1),31.51~337.06,"4,750~3,163",捷運局,2,店鋪,2
,,19.27~49.48,"10,122",捷運局,7,辦公室,7
,,18.64~34.65,"1,450",捷運局,81,聯開住宅,81
44,中山站(捷2),438.29,"2,543",捷運局,2,商場,2
,,430.77~450.66,"1,666~1,900",捷運局,9,辦公室,8
45,菜寮站(捷4),54.41~101.55,850,捷運局,103,聯開住宅,103
46,信義安和站(捷5),52.34~130.05,"1,603~2,439",捷運局,19,辦公室,19
,,93.16~130.05,"2,155~2,157",捷運局,3,聯開住宅,3
